19         = NAB = no. of Historic Abundance Estimates
2015       = I2SYR  = YEAR OF FIRST GENERATED SURVEY
IYR  K=TARA CONEST   TARVAR    SIGHT  CVCSLA    ProRated TTYPE  Area  CONEST= abundance for conditioning (baseline);
2007    1   10105    0.4       10105   0.4       10105     1     EC   SIGHT = estimate for use by CLC.
1987    2    1096    0.532      1096   0.35       1096     1     WG   Prorated = Alternative for conditioning (Used if OPTSGT=1)
2005    2    3234    0.595      3234   0.44       3234     1     WG   TTYPE = -2 and -3: combine these for Hyp 7 & 8
2064   0  0  0  0  0  0  0    0    0    0    0      0        0
2065   0  0  0  0  0  0  0    0    0    0    0      0        0
2066   0  0  0  0  0  0  0    0    0    0    0      0        0
2067   0  0  0  0  0  0  0    0    0    0    0      0        0
2068   0  0  0  0  0  0  0    0    0    0    0      0        0
2069   0  0  1  1  1  0  0    1    1    1    1      1        1
2070   0  0  0  0  0  0  0    0    0    0    0      0        0
2071   0  0  0  0  0  0  0    0    0    0    0      0        0
2072   0  0  0  0  0  0  0    0    0    0    0      0        0
2073   0  0  0  0  0  0  0    0    0    0    0      0        0
2074   0  0  0  0  0  0  0    0    0    0    0      0        0
2075   0  0  1  1  1  0  0    1    1    1    1      1        1
2076   0  0  0  0  0  0  0    0    0    0    0      0        0
2077   0  0  0  0  0  0  0    0    0    0    0      0        0
2078   0  0  0  0  0  0  0    0    0    0    0      0        0
2079   0  0  0  0  0  0  0    0    0    0    0      0        0
2080   0  0  0  0  0  0  0    0    0    0    0      0        0
2081   0  0  1  1  1  0  0    1    1    1    1      1        1
2082   0  0  0  0  0  0  0    0    0    0    0      0        0
2083   0  0  0  0  0  0  0    0    0    0    0      0        0
2084   0  0  0  0  0  0  0    0    0    0    0      0        0
2085   0  0  0  0  0  0  0    0    0    0    0      0        0
2086   0  0  0  0  0  0  0    0    0    0    0      0        0
2087   0  0  1  1  1  0  0    1    1    1    1      1        1
2088   0  0  0  0  0  0  0    0    0    0    0      0        0
2089   0  0  0  0  0  0  0    0    0    0    0      0        0
2090   0  0  0  0  0  0  0    0    0    0    0      0        0
2091   0  0  0  0  0  0  0    0    0    0    0      0        0
2092   0  0  0  0  0  0  0    0    0    0    0      0        0
2093   0  0  1  1  1  0  0    1    1    1    1      1        1
2094   0  0  0  0  0  0  0    0    0    0    0      0        0
2095   0  0  0  0  0  0  0    0    0    0    0      0        0
2096   0  0  0  0  0  0  0    0    0    0    0      0        0
